Artifact_ID,Artifact,File_or_Location,Purpose,Owner,Status,Update_Cadence,Approval_or_Control
TOS-PM-ART-001,Project package index,README.md,Orient users to the formal package and baseline,Project Manager,Proposed Baseline,At baseline and material change,Project Manager control
TOS-PM-ART-002,Project charter,project-charter.md,Authorize the project objectives scope authority and success measures,Project Manager,Proposed Baseline,At initiation and approved charter change,Patrick Craven Gate 1 approval
TOS-PM-ART-003,Integrated project management plan,integrated-project-management-plan.md,Define how the project is planned executed monitored controlled and closed,Project Manager,Proposed Baseline,At Gate 2 and approved change,Patrick Craven Gate 2 approval
TOS-PM-ART-004,Work breakdown structure,TOS_Autonomous_Execution_Project_Controls.xlsx / WBS,Decompose the approved scope into controlled work packages,Project Manager,Proposed Baseline,At baseline and scope change,Integrated change control
TOS-PM-ART-005,Integrated schedule,TOS_Autonomous_Execution_Project_Controls.xlsx / Schedule,Sequence work dependencies milestones and forecasts,Project Manager,Proposed Baseline,Weekly forecast; baseline by approved change,Gate and change control
TOS-PM-ART-006,RACI matrix,TOS_Autonomous_Execution_Project_Controls.xlsx / RACI,Assign responsible accountable consulted and informed roles,Project Manager,Proposed Baseline,At baseline and role change,Sponsor approval for authority changes
TOS-PM-ART-007,RAID log,TOS_Autonomous_Execution_Project_Controls.xlsx / RAID,Control risks assumptions issues and dependencies,Project Manager,Active Working Record,Weekly and on trigger,Named owner and sponsor risk acceptance
TOS-PM-ART-008,Stakeholder register,TOS_Autonomous_Execution_Project_Controls.xlsx / Stakeholders,Plan stakeholder engagement and communications,Project Manager,Active Working Record,At initiation and stakeholder change,Project Manager control
TOS-PM-ART-009,Requirements traceability matrix,TOS_Autonomous_Execution_Project_Controls.xlsx / Requirements_RTM,Trace requirements to deliverables acceptance and evidence,Planner / Project Manager,Proposed Baseline,At requirement or acceptance change,Owner and verifier controls
TOS-PM-ART-010,Change log,TOS_Autonomous_Execution_Project_Controls.xlsx / Change_Log,Record integrated change analysis decisions implementation and closure,Project Manager,Active Working Record,Per change,Named change approver
TOS-PM-ART-011,Decision log,TOS_Autonomous_Execution_Project_Controls.xlsx / Decision_Log,Record material decisions context consequences and review triggers,Project Manager,Active Working Record,Per decision,Named decision owner
TOS-PM-ART-012,Cost and effort baseline,TOS_Autonomous_Execution_Project_Controls.xlsx / Budget,Plan and track hours rates costs contingency and variance,Project Manager,Proposed Baseline,Weekly after activation; baseline by approved change,Patrick Craven approval for rates and spend
TOS-PM-ART-013,Quality and acceptance register,TOS_Autonomous_Execution_Project_Controls.xlsx / Quality_Acceptance,Define quality standards verification entry and exit criteria,Verifier / Project Manager,Proposed Baseline,At deliverable and gate review,Named acceptance owner
TOS-PM-ART-014,Weekly status report,TOS_Autonomous_Execution_Project_Controls.xlsx / Status_Report,Communicate health forecast accomplishments risks and decisions,Project Manager,Reusable Form,Weekly,Sponsor review
TOS-PM-ART-015,Lessons learned register,TOS_Autonomous_Execution_Project_Controls.xlsx / Lessons_Learned,Capture actionable learning during and after the project,Project Manager,Active Working Record,Throughout and at closeout,Project Manager control
TOS-PM-ART-016,Reusable PM forms,TOS_Project_Management_Forms.docx,Provide editable forms for initiation status RAID change decisions gates acceptance handoff and closeout,Project Manager,Reusable Template,As process changes,Project Manager control
TOS-PM-ART-017,Project manager field guide,TOS_Project_Manager_Field_Guide.docx,Explain when why and how a project manager uses the artifacts,Project Manager,Reference,At process change,Project Manager control
TOS-PM-ART-018,Project visuals,visuals/,Communicate lifecycle governance WBS authority and schedule,Project Manager / Architect,Proposed Baseline,At approved structural change,Project Manager and affected owner
TOS-PM-ART-019,Execution policy,.tos/execution-policy.yaml,Define autonomous mode limits protected authority and kill switch,Owner / Planner,Planned,At approved policy change,Patrick Craven reserved approval
TOS-PM-ART-020,Work-order register,.tos/work-orders.yaml,Record bounded executable work orders,Planner,Planned,Per approved work order,Eligibility and schema validation
TOS-PM-ART-021,Execution event records,.tos/claims.jsonl; .tos/submissions.jsonl; .tos/verifications.jsonl; .tos/promotions.jsonl; .tos/execution-events.jsonl,Maintain append-only attributable autonomous execution history,Worker / Verifier / Promoter,Planned,Per material action,Schema identity and evidence controls
TOS-PM-ART-022,Pilot report,docs/pilot/,Record pilot plan observations incidents metrics retrospective and decision,Project Manager,Planned,During pilot and at Gate 5,Patrick Craven pilot and acceptance decision
TOS-PM-ART-023,Project closeout report,forms/project-closeout.md or approved generated record,Document acceptance transition residual work archive and lessons,Project Manager,Reusable Form,At project closeout,Patrick Craven final acceptance
