contract_id,category,contract_name,template_path,requirement,trigger,purpose,default_owner_function
TOS-CTR-001,Foundation and Governance,System Charter,contracts/foundation-governance/TOS-CTR-001_system-charter.yaml,core,Every TOS installation and project,"Defines mission, scope, authority, non-goals, principles, and success conditions.",Owner
TOS-CTR-002,Foundation and Governance,Constitutional Principles,contracts/foundation-governance/TOS-CTR-002_constitutional-principles.yaml,core,Every TOS installation,"Defines immutable operating rules that subordinate modules, agents, and projects must follow.",Owner
TOS-CTR-003,Foundation and Governance,Naming and Terminology,contracts/foundation-governance/TOS-CTR-003_naming-terminology.yaml,core,Every TOS installation and project,"Defines official names, controlled vocabulary, identifiers, file naming, and prohibited aliases.",Knowledge Manager
TOS-CTR-004,Foundation and Governance,Authority and Approval,contracts/foundation-governance/TOS-CTR-004_authority-approval.yaml,core,Every TOS installation and project,"Defines who may decide, approve, execute, verify, override, promote, and retire work.",Owner
TOS-CTR-005,Foundation and Governance,Source of Truth,contracts/foundation-governance/TOS-CTR-005_source-of-truth.yaml,core,Every project,"Defines authoritative records, precedence, reconciliation, and conflict handling.",Project Manager
TOS-CTR-006,Foundation and Governance,Project Manifest,contracts/foundation-governance/TOS-CTR-006_project-manifest.yaml,core,Every project,"Declares project identity, ownership, lifecycle state, modules, sources, and governing TOS version.",Project Manager
TOS-CTR-007,Foundation and Governance,Project Fact,contracts/foundation-governance/TOS-CTR-007_project-fact.yaml,core,Every fact used for module selection or gating,"Records observed and intended state, source, evidence, confidence, freshness, and invalidation conditions.",Research Discovery
TOS-CTR-008,Foundation and Governance,Assumption,contracts/foundation-governance/TOS-CTR-008_assumption.yaml,core,"Any unresolved premise affecting scope, design, schedule, risk, or release",Makes uncertain premises explicit and time-bounded.,Project Manager
TOS-CTR-009,Foundation and Governance,Decision,contracts/foundation-governance/TOS-CTR-009_decision.yaml,core,Any material choice or binding interpretation,"Records alternatives, rationale, authority, consequences, and supersession.",Owner
TOS-CTR-010,Foundation and Governance,Risk,contracts/foundation-governance/TOS-CTR-010_risk.yaml,core,Any uncertain event with material impact,"Defines probability, impact, exposure, owner, treatment, trigger, and residual risk.",Project Manager
TOS-CTR-011,Foundation and Governance,Issue,contracts/foundation-governance/TOS-CTR-011_issue.yaml,core,Any realized problem requiring resolution,"Records current impact, containment, root cause status, action, and closure proof.",Project Manager
TOS-CTR-012,Foundation and Governance,Change Control,contracts/foundation-governance/TOS-CTR-012_change-control.yaml,core,"Any change to approved scope, architecture, schedule, cost, risk, or contract",Controls proposed changes and their approval and downstream effects.,Project Manager
TOS-CTR-013,Foundation and Governance,Dependency,contracts/foundation-governance/TOS-CTR-013_dependency-governance.yaml,core,Any work or decision dependent on another internal or external item,"Defines dependency type, provider, consumer, timing, failure behavior, and fallback.",Project Manager
TOS-CTR-014,Foundation and Governance,Requirement,contracts/foundation-governance/TOS-CTR-014_requirement.yaml,core,"Every committed product, system, control, or operational obligation","Defines a uniquely identified, testable, traceable obligation.",Product Manager
TOS-CTR-015,Foundation and Governance,Acceptance Criteria,contracts/foundation-governance/TOS-CTR-015_acceptance-criteria.yaml,core,"Every requirement, feature, task, milestone, and release",Defines observable pass/fail conditions without implementation ambiguity.,Product Manager
TOS-CTR-016,Foundation and Governance,Definition of Done,contracts/foundation-governance/TOS-CTR-016_definition-of-done.yaml,core,Every work class and lifecycle promotion,Defines complete evidence and closure conditions beyond code completion.,Project Manager
TOS-CTR-017,Foundation and Governance,Milestone,contracts/foundation-governance/TOS-CTR-017_milestone.yaml,core,Every material lifecycle or delivery checkpoint,"Defines milestone outcome, entry criteria, exit criteria, evidence, and owner approval.",Project Manager
TOS-CTR-018,Foundation and Governance,Promotion,contracts/foundation-governance/TOS-CTR-018_promotion.yaml,core,Every lifecycle-state transition,Defines allowed state transitions and mandatory gates.,Release Ops
TOS-CTR-019,Foundation and Governance,Retirement,contracts/foundation-governance/TOS-CTR-019_retirement.yaml,conditional,"Any project, module, component, service, contract, or data set being ended","Controls decommissioning, consumer removal, data disposition, and historical preservation.",Operations Manager
TOS-CTR-020,Planning and Delivery,Roadmap,contracts/planning-delivery/TOS-CTR-020_roadmap.yaml,core,Every project,"Defines sequenced outcomes, dependencies, target horizons, and decision gates.",Product Manager
TOS-CTR-021,Planning and Delivery,Work Breakdown Structure,contracts/planning-delivery/TOS-CTR-021_work-breakdown-structure.yaml,core,Every nontrivial project or milestone,"Decomposes scope into uniquely owned, verifiable work packages.",Project Manager
TOS-CTR-022,Planning and Delivery,Task or Vertical Slice,contracts/planning-delivery/TOS-CTR-022_task-slice.yaml,core,Every executable unit of work,"Defines one bounded outcome with contracts, scope, tests, evidence, and rollback.",Project Manager
TOS-CTR-023,Planning and Delivery,Agent Work Order,contracts/planning-delivery/TOS-CTR-023_agent-work-order.yaml,conditional,Any task executed or reviewed by an AI agent,"Compiles a task into explicit authority, file scope, checks, stop conditions, and handoff requirements.",Workflow Coordinator
TOS-CTR-024,Planning and Delivery,Task Lease,contracts/planning-delivery/TOS-CTR-024_task-lease.yaml,conditional,Any concurrently executable or agent-owned task,Prevents duplicate or stale work by assigning bounded temporary ownership.,Workflow Coordinator
TOS-CTR-025,Planning and Delivery,Handoff,contracts/planning-delivery/TOS-CTR-025_handoff.yaml,core,"Any transfer between functions, agents, phases, or owners","Transfers state, evidence, unresolved items, and next authority without loss.",Workflow Coordinator
TOS-CTR-026,Planning and Delivery,Review,contracts/planning-delivery/TOS-CTR-026_review.yaml,core,Any material deliverable requiring independent evaluation,"Defines review scope, reviewer independence, findings, disposition, and re-review.",QA Test Engineer
TOS-CTR-027,Planning and Delivery,Blocker,contracts/planning-delivery/TOS-CTR-027_blocker.yaml,core,Any condition preventing valid progress,"Defines blocked subject, cause, owner, unblock condition, escalation, and impact.",Project Manager
TOS-CTR-028,Planning and Delivery,Schedule,contracts/planning-delivery/TOS-CTR-028_schedule.yaml,conditional,Any project with time-bound commitments or dependencies,"Defines calendar logic, milestones, constraints, buffers, and update rules.",Project Manager
TOS-CTR-029,Planning and Delivery,Release,contracts/planning-delivery/TOS-CTR-029_release.yaml,conditional,Any versioned or delivered product increment,"Defines release identity, contents, target environments, gates, approvals, and support window.",Release Ops
TOS-CTR-030,Planning and Delivery,Rollback,contracts/planning-delivery/TOS-CTR-030_rollback.yaml,conditional,"Any deployable, migratable, or externally delivered change","Defines return-to-safe-state procedure, trigger, data implications, and proof.",Release Ops
TOS-CTR-031,Planning and Delivery,Closeout,contracts/planning-delivery/TOS-CTR-031_closeout.yaml,core,"Every completed task, milestone, release, or project","Confirms scope disposition, evidence, residual items, handoff, and archive.",Project Manager
TOS-CTR-032,Planning and Delivery,Lesson and Improvement,contracts/planning-delivery/TOS-CTR-032_lesson-improvement.yaml,core,"Every material success, failure, incident, or retrospective",Converts experience into a proposed reusable TOS control and propagation plan.,Knowledge Manager
TOS-CTR-033,Architecture and Software,System Architecture,contracts/architecture-software/TOS-CTR-033_system-architecture.yaml,conditional,"Every software, technical, or multi-component project","Defines system context, decomposition, boundaries, data flows, trust boundaries, and tradeoffs.",Solution Architect
TOS-CTR-034,Architecture and Software,Domain,contracts/architecture-software/TOS-CTR-034_domain.yaml,conditional,Any project with domain rules or business state,"Defines actors, entities, terminology, invariants, commands, queries, events, and state transitions.",Solution Architect
TOS-CTR-035,Architecture and Software,Component,contracts/architecture-software/TOS-CTR-035_component.yaml,conditional,"Every independently owned runtime, package, app, service, or major subsystem","Defines purpose, responsibilities, interfaces, dependencies, consumers, boundaries, validation, and retirement.",Solution Architect
TOS-CTR-036,Architecture and Software,Package Boundary,contracts/architecture-software/TOS-CTR-036_package-boundary.yaml,conditional,Any multi-package or modular codebase,"Defines allowed dependency directions, public exports, prohibited imports, and exception handling.",Solution Architect
TOS-CTR-037,Architecture and Software,Repository,contracts/architecture-software/TOS-CTR-037_repository.yaml,conditional,Every source-controlled project,"Defines repository purpose, ownership, branch policy, required files, CI, protection, and archive.",Infrastructure DevOps
TOS-CTR-038,Architecture and Software,Branch Commit and Pull Request,contracts/architecture-software/TOS-CTR-038_branch-commit-pull-request.yaml,conditional,Any source-controlled change,"Defines naming, scope, commit quality, review, merge, and traceability rules.",Infrastructure DevOps
TOS-CTR-039,Architecture and Software,Software Dependency,contracts/architecture-software/TOS-CTR-039_software-dependency.yaml,conditional,Any third-party or internal software dependency,"Defines purpose, version policy, license, security, ownership, update, and removal.",Solution Architect
TOS-CTR-040,Architecture and Software,Data and Schema,contracts/architecture-software/TOS-CTR-040_data-schema.yaml,conditional,Any persisted or exchanged data,"Defines entities, fields, types, constraints, ownership, classification, migration, and deletion.",Database Engineer
TOS-CTR-041,Architecture and Software,State Machine,contracts/architecture-software/TOS-CTR-041_state-machine.yaml,conditional,"Any lifecycle, workflow, or status-bearing entity","Defines states, transitions, guards, side effects, terminal states, and invalid transitions.",Solution Architect
TOS-CTR-042,Architecture and Software,Transaction,contracts/architecture-software/TOS-CTR-042_transaction.yaml,conditional,Any multi-step operation requiring atomicity or idempotency,"Defines transaction boundary, invariants, isolation, idempotency, audit, and failure rollback.",Database Engineer
TOS-CTR-043,Architecture and Software,API,contracts/architecture-software/TOS-CTR-043_api.yaml,conditional,Any callable interface between systems or components,"Defines operations, schemas, authentication, authorization, errors, idempotency, versioning, and tests.",Backend API Engineer
TOS-CTR-044,Architecture and Software,Event and Message,contracts/architecture-software/TOS-CTR-044_event-message.yaml,conditional,"Any asynchronous event, queue, webhook, or message","Defines producer, consumers, schema, delivery, ordering, retry, idempotency, and dead-letter handling.",Backend API Engineer
TOS-CTR-045,Architecture and Software,Service,contracts/architecture-software/TOS-CTR-045_service.yaml,conditional,Any independently operated service,"Defines service responsibility, interfaces, dependencies, SLOs, scaling, deployment, and ownership.",Solution Architect
TOS-CTR-046,Architecture and Software,Integration,contracts/architecture-software/TOS-CTR-046_integration.yaml,conditional,Any connection to an external or separately owned system,"Defines purpose, data exchange, credentials, limits, failure modes, monitoring, and exit strategy.",Solution Architect
TOS-CTR-047,Architecture and Software,Provider Adapter,contracts/architecture-software/TOS-CTR-047_provider-adapter.yaml,conditional,Any provider-specific implementation behind an agnostic capability,"Defines capability interface, provider mapping, configuration, failure translation, and portability.",Infrastructure DevOps
TOS-CTR-048,Architecture and Software,Environment,contracts/architecture-software/TOS-CTR-048_environment.yaml,conditional,"Any local, test, staging, pilot, or production environment","Defines purpose, allowed data, configuration, access, parity, reset, and evidence rules.",Infrastructure DevOps
TOS-CTR-049,Architecture and Software,Deployment,contracts/architecture-software/TOS-CTR-049_deployment.yaml,conditional,Any deployed artifact or service,"Defines artifact identity, target, configuration, rollout, verification, rollback, and ownership.",Infrastructure DevOps
TOS-CTR-050,Architecture and Software,Migration,contracts/architecture-software/TOS-CTR-050_migration.yaml,conditional,"Any data, architecture, provider, or component transition","Defines source, target, mapping, compatibility, rehearsal, cutover, rollback, and proof.",Solution Architect
TOS-CTR-051,Architecture and Software,Deprecation,contracts/architecture-software/TOS-CTR-051_deprecation.yaml,conditional,"Any interface, feature, component, module, or contract being phased out","Defines deprecated subject, replacement, notice, compatibility window, removal conditions, and evidence.",Solution Architect
TOS-CTR-052,Architecture and Software,UI Route and Surface,contracts/architecture-software/TOS-CTR-052_ui-route-surface.yaml,conditional,"Any user-visible route, screen, or interaction surface","Defines actor, purpose, route, capabilities, states, accessibility, telemetry, and visual evidence.",Frontend Engineer
TOS-CTR-053,Architecture and Software,Design System and Brand,contracts/architecture-software/TOS-CTR-053_design-system-brand.yaml,conditional,Any branded or user-facing project,"Defines tokens, typography, components, allowed variation, accessibility, claims, and validation.",Marketing Positioning
TOS-CTR-054,Architecture and Software,Content Pack and Engine Fuel,contracts/architecture-software/TOS-CTR-054_content-pack-engine-fuel.yaml,conditional,Any system separating reusable logic from customer or domain content,"Defines engine/fuel boundary, content schema, validation, signing, compatibility, and prohibited leakage.",Content Engineer
TOS-CTR-055,Architecture and Software,Configuration,contracts/architecture-software/TOS-CTR-055_configuration.yaml,conditional,Any configurable system behavior,"Defines configuration keys, types, defaults, scope, authority, secrets, validation, and change behavior.",Infrastructure DevOps
TOS-CTR-056,Architecture and Software,Feature Flag,contracts/architecture-software/TOS-CTR-056_feature-flag.yaml,conditional,"Any controlled rollout, experiment, or disabled path","Defines flag purpose, owner, audience, default, rollout, telemetry, expiry, and cleanup.",Product Manager
TOS-CTR-057,"Security, Privacy, and Identity",Security Policy,contracts/security-privacy-identity/TOS-CTR-057_security-policy.yaml,conditional,"Any software, data, identity, provider, or external access","Defines security objectives, control domains, responsibilities, exceptions, and assurance.",Security Privacy
TOS-CTR-058,"Security, Privacy, and Identity",Threat Model,contracts/security-privacy-identity/TOS-CTR-058_threat-model.yaml,conditional,"Any system with assets, trust boundaries, users, data, or external exposure","Defines assets, actors, entry points, threats, mitigations, residual risk, and review triggers.",Security Privacy
TOS-CTR-059,"Security, Privacy, and Identity",Data Classification,contracts/security-privacy-identity/TOS-CTR-059_data-classification.yaml,conditional,"Any stored, processed, or transmitted data","Defines classification levels, examples, handling, access, retention, and breach impact.",Security Privacy
TOS-CTR-060,"Security, Privacy, and Identity",Privacy,contracts/security-privacy-identity/TOS-CTR-060_privacy.yaml,conditional,"Any personal, sensitive, behavioral, or customer data","Defines purposes, lawful/authorized basis, minimization, notice, rights, sharing, retention, and deletion.",Security Privacy
TOS-CTR-061,"Security, Privacy, and Identity",Identity Lifecycle,contracts/security-privacy-identity/TOS-CTR-061_identity-lifecycle.yaml,conditional,Any human or machine identity,"Defines creation, activation, verification, suspension, recovery, offboarding, and deletion.",Security Privacy
TOS-CTR-062,"Security, Privacy, and Identity",Credential and Secret,contracts/security-privacy-identity/TOS-CTR-062_credential-secret.yaml,conditional,"Any password, key, token, certificate, or secret","Defines issuance, storage, scope, rotation, exposure response, revocation, and audit.",Security Privacy
TOS-CTR-063,"Security, Privacy, and Identity",Authorization Capability,contracts/security-privacy-identity/TOS-CTR-063_authorization-capability.yaml,conditional,"Any protected action, resource, or administrative function","Defines capability registry, grant source, evaluation, denial, audit, and fail-closed behavior.",Security Privacy
TOS-CTR-064,"Security, Privacy, and Identity",Tenant and Scope,contracts/security-privacy-identity/TOS-CTR-064_tenant-scope.yaml,conditional,"Any multi-organization, multi-location, or scoped-access system","Defines tenant identity, scope derivation, narrowing rules, cross-scope denial, and ambiguity handling.",Security Privacy
TOS-CTR-065,"Security, Privacy, and Identity",Audit Log,contracts/security-privacy-identity/TOS-CTR-065_audit-log.yaml,conditional,"Any security, compliance, administrative, financial, or critical domain operation","Defines audited events, actor, target, timestamp, outcome, immutability, retention, and access.",Security Privacy
TOS-CTR-066,"Security, Privacy, and Identity",Data Retention and Deletion,contracts/security-privacy-identity/TOS-CTR-066_data-retention-deletion.yaml,conditional,Any persisted data,"Defines retention periods, legal/business basis, deletion triggers, verification, exceptions, and archive.",Security Privacy
TOS-CTR-067,"Security, Privacy, and Identity",Security Vulnerability,contracts/security-privacy-identity/TOS-CTR-067_security-vulnerability.yaml,conditional,Any discovered weakness or security finding,"Defines severity, affected assets, exploitability, containment, remediation, disclosure, and closure.",Security Privacy
TOS-CTR-068,"Security, Privacy, and Identity",Compliance and Approval,contracts/security-privacy-identity/TOS-CTR-068_compliance-approval.yaml,conditional,"Any legal, regulatory, contractual, privacy, or security approval requirement","Defines authority, scope, evidence, validity period, conditions, and revocation.",Legal Contracts Coordinator
TOS-CTR-069,Operations and Evidence,Evidence,contracts/operations-evidence/TOS-CTR-069_evidence.yaml,core,"Every completed claim, task, gate, milestone, release, and promotion","Defines evidence class, subject, exact version, method, result, artifact, freshness, and limitations.",Release Ops
TOS-CTR-070,Operations and Evidence,Validation,contracts/operations-evidence/TOS-CTR-070_validation.yaml,core,Every contract and deliverable,"Defines validation commands, environment, expected result, failure meaning, and record format.",QA Test Engineer
TOS-CTR-071,Operations and Evidence,Test Strategy,contracts/operations-evidence/TOS-CTR-071_test-strategy.yaml,conditional,Any executable or behavior-bearing system,"Defines test levels, scope, fixtures, coverage expectations, environments, and ownership.",QA Test Engineer
TOS-CTR-072,Operations and Evidence,Negative Control,contracts/operations-evidence/TOS-CTR-072_negative-control.yaml,core,"Every important checker, gate, policy, and safety control","Defines a deliberate violation, expected detection, failure signal, and regression frequency.",QA Test Engineer
